Crop_Type,Rainfall_mm,Temperature_C,Humidity_pct,Nitrogen,Phosphorus,Potassium,pH,Area_ha,Season,Irrigation_Type,Yield_ton_per_ha
Cotton,876.4,,51.8,68.1,5.7,91.0,5.94,11.04,Kharif,Rainfed,1.98
Soybean,880.2,27.0,63.3,62.0,95.6,72.4,5.69,2.97,Rabi,Drip,3.98
Wheat,399.5,18.1,58.1,17.9,44.3,62.4,6.24,15.1,Kharif,Flood,3.41
Sugarcane,1058.2,31.6,64.9,79.8,93.8,92.7,7.87,6.41,Zaid,Rainfed,53.58
Maize,1162.8,18.4,57.2,41.2,12.9,102.5,6.82,13.51,Zaid,Drip,5.28
Wheat,610.8,16.5,41.2,34.3,84.0,85.5,5.9,,Zaid,Sprinkler,4.77
Maize,695.8,27.7,55.7,75.6,,30.3,4.81,7.45,Kharif,Drip,5.06
Rice,1171.7,29.4,85.8,101.1,43.2,13.0,7.43,12.53,Zaid,Flood,4.31
Wheat,527.1,20.3,65.9,129.2,99.7,21.1,7.95,5.69,Kharif,Rainfed,4.72
Sugarcane,1027.0,27.6,83.3,20.2,70.4,87.4,7.68,3.14,Zaid,Flood,52.39
Wheat,436.4,18.1,53.9,125.4,48.2,63.4,6.12,9.47,Zaid,Drip,6.37
Wheat,518.3,15.7,59.0,68.5,37.1,45.8,5.47,18.53,Zaid,Rainfed,3.38
Wheat,503.4,15.4,53.8,48.7,8.1,67.0,6.6,6.02,Rabi,Rainfed,3.55
Soybean,666.9,29.9,68.9,68.8,9.1,37.5,5.78,16.85,Zaid,Drip,2.51
Wheat,564.0,20.6,69.1,104.1,25.1,16.0,7.25,3.59,Kharif,Flood,3.3
Maize,728.8,21.7,50.3,101.1,,86.2,6.47,15.79,Zaid,Drip,7.85
Rice,1374.4,22.7,65.2,107.8,91.6,63.2,6.61,15.4,Rabi,Drip,8.14
Cotton,598.7,34.2,64.6,105.7,78.6,73.9,6.39,11.65,Rabi,Flood,3.52
Wheat,552.8,23.6,42.3,49.8,67.3,30.1,5.62,16.5,Zaid,Drip,4.38
Sugarcane,1477.7,27.6,78.3,47.4,75.0,12.4,7.96,10.24,Zaid,Rainfed,62.13
Wheat,678.1,13.7,48.3,127.6,82.7,41.4,7.73,7.45,Rabi,Rainfed,4.59
Sugarcane,2155.7,34.9,65.3,75.2,27.2,48.0,7.62,15.54,Rabi,Rainfed,49.87
Maize,851.4,22.6,68.2,82.8,51.2,58.0,5.21,16.35,Zaid,Flood,6.46
Sugarcane,2149.2,22.0,83.3,133.1,40.1,19.2,6.57,2.7,Kharif,Sprinkler,77.1
Cotton,691.6,29.1,59.9,69.3,21.2,33.1,6.54,3.38,Zaid,Sprinkler,2.28
Rice,921.4,23.1,60.3,81.3,97.5,51.1,6.66,19.38,Kharif,Rainfed,5.83
Sugarcane,1842.4,25.1,61.8,109.4,32.0,98.2,5.97,3.29,Rabi,Sprinkler,123.75
Sugarcane,2130.5,22.5,84.2,111.3,7.1,68.0,7.28,16.6,Rabi,Sprinkler,88.4
Rice,1186.9,,73.2,118.3,93.3,71.0,6.08,5.45,Zaid,Drip,6.7
Cotton,722.2,32.2,46.4,,68.6,5.0,7.72,2.05,Zaid,Sprinkler,1.8
Wheat,460.4,16.6,68.9,93.4,7.2,50.2,8.0,6.38,Kharif,Rainfed,2.51
Sugarcane,1988.6,34.9,61.3,23.6,88.7,60.4,7.8,17.2,Kharif,Sprinkler,54.73
Rice,1456.9,31.6,61.9,93.6,60.8,99.1,7.11,,Rabi,Drip,7.66
Maize,941.3,27.6,58.8,58.6,68.6,12.6,5.53,14.42,Rabi,Flood,4.48
Rice,1724.8,26.4,67.9,10.7,68.5,107.1,6.93,2.84,Kharif,Drip,5.63
Maize,925.4,20.8,62.1,37.0,82.3,83.0,7.15,5.11,Rabi,Sprinkler,7.13
Cotton,759.2,34.4,48.8,40.4,9.7,33.2,7.12,10.91,Rabi,Drip,1.76
Wheat,512.4,16.5,43.8,26.0,63.9,75.9,7.61,11.36,Rabi,Rainfed,3.34
Rice,1647.2,29.2,67.0,45.1,67.2,46.0,5.28,14.77,Kharif,Rainfed,4.11
Soybean,681.6,28.6,52.6,100.2,54.3,36.3,6.19,6.32,Kharif,Sprinkler,3.48
Sugarcane,2025.2,23.8,77.1,75.2,78.9,93.3,6.82,12.57,Zaid,Rainfed,82.38
Cotton,512.1,33.9,48.7,103.8,12.6,24.2,6.86,11.42,Kharif,Sprinkler,2.06
Rice,1627.6,22.2,69.0,91.4,19.3,54.2,6.52,11.91,Zaid,Flood,5.21
Sugarcane,1499.1,27.4,61.8,21.6,46.2,42.4,6.56,6.44,Rabi,Sprinkler,67.78
Rice,1656.9,22.9,65.9,99.7,42.1,48.7,6.38,7.67,Kharif,Flood,5.23
Maize,964.6,21.7,70.0,47.2,48.7,25.3,5.34,0.95,Zaid,Sprinkler,4.46
Rice,952.9,24.8,79.2,19.8,17.7,72.7,5.86,14.3,Kharif,Rainfed,3.02
Soybean,742.9,22.6,52.9,79.7,46.5,33.1,6.92,17.49,Zaid,Sprinkler,2.79
Rice,1108.5,24.3,74.4,57.7,91.8,43.7,5.99,7.98,Kharif,Flood,5.96
Rice,1537.0,28.5,70.0,116.3,8.6,96.4,6.55,8.27,Kharif,Flood,6.8
Soybean,512.2,23.4,61.0,74.5,43.3,76.3,6.18,19.25,Zaid,Rainfed,3.32
Cotton,554.7,33.1,49.9,53.8,59.1,95.4,4.81,1.92,Kharif,Rainfed,2.01
Rice,1799.5,27.4,63.8,26.9,57.9,104.4,6.16,6.88,Rabi,Rainfed,
Soybean,826.6,29.3,74.9,12.9,15.7,69.0,7.78,6.06,Kharif,Drip,1.9
Sugarcane,1986.7,30.8,84.0,131.0,80.0,81.0,5.6,17.0,Rabi,Sprinkler,117.06
Maize,768.9,21.3,75.1,29.3,48.3,56.7,4.65,4.32,Rabi,Rainfed,3.45
Maize,913.6,18.7,79.7,31.7,9.4,86.9,5.51,16.68,Zaid,Sprinkler,4.64
Rice,1290.7,31.5,79.9,70.4,64.9,52.2,5.25,10.4,Rabi,Flood,5.08
Cotton,556.7,31.6,58.0,75.0,89.9,101.6,4.72,,Rabi,Drip,2.84
Cotton,771.1,28.7,43.7,107.0,5.8,22.7,6.82,,Zaid,Flood,2.2
Sugarcane,2014.0,30.8,77.6,73.6,41.4,28.3,7.8,12.36,Rabi,Rainfed,61.48
Rice,1669.9,30.4,86.8,25.3,99.1,27.0,4.55,19.95,Kharif,Sprinkler,3.36
Maize,1132.8,25.0,59.6,97.1,22.9,70.6,5.85,4.62,Zaid,Rainfed,5.65
Cotton,951.0,26.8,49.9,41.9,47.6,38.7,7.48,19.44,Kharif,Rainfed,1.67
Rice,1628.7,23.6,75.4,94.6,89.5,51.2,8.1,15.14,Kharif,Rainfed,5.01
Cotton,,30.3,60.9,124.8,92.6,,5.01,11.36,Rabi,Rainfed,2.05
Soybean,738.1,27.6,53.0,72.9,70.1,86.8,4.58,17.86,Zaid,Rainfed,
Cotton,904.0,33.1,44.7,24.3,73.5,21.4,7.9,14.66,Zaid,Rainfed,1.38
Maize,522.0,26.1,71.8,118.7,44.4,85.3,5.2,6.78,Zaid,Drip,5.83
Wheat,588.9,18.7,62.5,135.4,12.0,10.6,8.25,10.83,Zaid,Sprinkler,3.41
Sugarcane,2120.8,31.5,67.8,49.8,84.6,12.6,8.02,5.5,Zaid,Sprinkler,56.52
Sugarcane,1692.9,21.9,81.1,126.7,30.1,79.7,4.9,1.15,Zaid,Drip,95.29
Maize,504.6,22.1,64.4,12.1,13.7,39.3,6.25,5.95,Rabi,Flood,3.73
Cotton,572.3,25.6,57.4,28.5,65.8,10.7,6.13,3.96,Rabi,Flood,1.74
Rice,1450.9,31.3,75.8,28.3,5.1,90.1,4.85,12.86,Kharif,Drip,
Cotton,832.6,27.1,42.0,88.5,20.6,82.3,5.7,9.54,Kharif,Drip,2.79
Maize,963.7,21.6,54.7,,17.2,49.7,5.49,15.09,Rabi,Rainfed,4.73
Sugarcane,2337.7,33.2,64.9,89.8,13.3,46.1,7.35,13.36,Kharif,Drip,51.87
Cotton,859.5,26.0,52.6,102.1,28.6,,5.84,1.0,Zaid,Rainfed,1.85
Sugarcane,2345.9,32.0,73.0,69.2,7.9,97.3,4.55,18.92,Rabi,Sprinkler,51.19
Rice,1497.7,22.2,76.5,38.5,45.7,73.5,7.41,0.51,Rabi,Drip,4.93
Sugarcane,1350.4,22.5,66.6,14.9,16.7,108.6,5.76,2.75,Kharif,Sprinkler,64.73
Sugarcane,1031.4,23.9,65.6,17.3,14.8,50.3,5.42,10.56,Rabi,Rainfed,33.61
Wheat,335.2,20.5,,133.9,56.4,80.1,6.73,17.17,Zaid,Sprinkler,6.28
Wheat,400.2,13.2,52.4,36.8,88.3,21.6,6.32,12.31,Rabi,Flood,3.18
Soybean,841.1,23.8,64.2,67.1,11.4,53.8,7.78,12.48,Zaid,Drip,2.26
Wheat,451.6,12.2,60.9,112.7,33.1,57.0,6.18,8.51,Kharif,Flood,4.47
Sugarcane,1295.0,22.0,61.4,35.8,5.9,70.9,5.77,19.48,Rabi,Drip,48.38
Maize,1087.4,18.1,51.0,132.2,89.7,61.2,6.67,13.25,Rabi,Flood,6.79
Sugarcane,1624.0,25.8,,22.2,53.7,64.2,6.48,14.77,Zaid,Sprinkler,86.09
Maize,1077.9,24.9,58.3,19.8,72.2,55.7,8.09,19.66,Zaid,Rainfed,4.31
Maize,903.9,28.6,56.6,45.0,81.3,9.6,8.47,,Kharif,Sprinkler,4.12
Wheat,506.5,23.4,56.1,16.4,5.2,30.7,7.22,2.86,Zaid,Rainfed,1.75
Cotton,823.9,29.1,57.8,33.2,12.6,103.7,5.54,17.14,Zaid,Rainfed,1.91
Rice,1723.1,30.2,77.9,53.8,29.9,17.8,6.54,11.91,Rabi,Sprinkler,4.25
Wheat,481.8,18.2,59.2,127.2,20.6,45.0,5.06,12.69,Rabi,Drip,4.39
Wheat,331.6,24.4,58.1,17.4,89.9,60.6,7.18,16.72,Rabi,Sprinkler,3.83
Cotton,939.4,25.4,47.9,26.8,49.5,67.8,4.62,5.86,Rabi,Rainfed,1.54
Rice,1564.5,31.8,64.8,127.8,54.0,21.1,8.19,15.27,Rabi,Rainfed,4.08
Sugarcane,1300.5,30.6,65.3,99.5,25.9,51.1,7.63,15.79,Zaid,Rainfed,59.95
Soybean,552.8,26.5,56.9,50.9,16.1,33.7,5.34,9.38,Kharif,Drip,2.32
Soybean,774.1,21.0,67.2,22.4,92.6,64.7,5.95,15.25,Kharif,Drip,3.23
Sugarcane,1672.3,32.6,75.9,38.8,69.3,86.1,6.39,12.55,Rabi,Flood,93.61
Wheat,548.9,23.6,65.3,114.2,44.0,29.2,6.12,16.61,Kharif,Rainfed,4.66
Rice,1570.7,25.5,67.4,24.2,80.5,15.4,5.59,17.17,Rabi,Sprinkler,4.38
Wheat,789.9,24.6,48.0,15.3,72.0,52.4,4.9,14.3,Zaid,Rainfed,2.43
Maize,,29.5,74.0,61.7,36.9,29.6,6.42,11.26,Zaid,Flood,5.02
Wheat,774.3,15.3,45.1,135.5,6.4,55.5,5.83,9.26,Rabi,Sprinkler,3.67
Wheat,642.9,21.5,65.0,42.5,62.9,66.4,5.98,9.98,Zaid,Sprinkler,3.9
Sugarcane,1320.7,22.1,62.6,98.8,67.8,104.8,7.42,1.51,Rabi,Drip,80.11
Sugarcane,1201.7,28.4,68.0,128.7,43.9,83.6,4.95,5.33,Rabi,Drip,74.0
Sugarcane,1579.2,31.4,83.9,128.4,96.4,49.9,5.29,12.72,Rabi,Drip,105.31
Soybean,667.2,20.2,58.3,106.2,34.7,91.8,6.88,15.98,Zaid,Rainfed,3.34
Maize,1189.5,26.1,50.9,54.0,15.2,32.5,7.86,1.13,Rabi,Rainfed,3.68
Sugarcane,2185.9,27.1,63.3,50.4,63.5,77.5,6.12,17.57,Kharif,Drip,99.43
Rice,843.4,26.0,76.5,102.1,15.9,37.1,7.63,7.64,Zaid,Sprinkler,3.5
Soybean,497.5,29.0,67.7,74.9,87.6,18.3,7.21,11.66,Zaid,Drip,3.19
Cotton,861.0,29.9,63.4,,6.9,89.6,4.93,19.74,Kharif,Flood,1.56
Rice,1591.2,24.4,87.3,137.7,23.8,19.1,4.73,17.43,Kharif,Sprinkler,4.67
Rice,1995.0,22.7,68.7,29.4,27.9,103.3,6.58,7.61,Rabi,Rainfed,3.48
Sugarcane,1526.1,23.5,78.9,85.7,70.5,64.5,7.23,0.56,Kharif,Drip,96.27
Cotton,703.1,26.1,59.3,66.6,95.0,54.1,8.0,16.31,Zaid,Flood,2.19
Cotton,844.3,26.1,64.5,104.5,93.2,89.5,5.15,5.36,Zaid,Rainfed,2.91
Soybean,711.7,21.7,74.4,109.0,45.2,5.5,5.75,10.77,Kharif,Rainfed,2.59
Cotton,954.6,27.5,42.5,16.4,5.5,39.4,7.14,14.74,Rabi,Drip,1.39
Maize,751.9,26.2,70.0,15.3,42.1,88.0,7.71,14.46,Rabi,Flood,4.78
Sugarcane,1746.5,23.2,71.9,127.2,8.3,38.6,6.89,12.29,Kharif,Flood,82.6
Cotton,531.4,33.2,60.4,74.3,17.7,98.0,7.1,3.69,Zaid,Rainfed,2.11
Soybean,889.2,23.4,71.8,52.8,60.8,94.0,6.27,0.85,Kharif,Flood,3.39
Maize,1178.6,24.1,,19.2,23.0,86.0,7.87,12.55,Rabi,Drip,5.12
Wheat,362.3,15.1,57.6,109.4,,84.6,7.67,12.52,Zaid,Drip,4.18
Wheat,730.1,20.3,68.4,130.9,41.2,13.3,5.19,1.65,Zaid,Rainfed,3.19
Maize,545.5,23.3,,26.4,90.8,95.7,6.36,15.02,Rabi,Rainfed,6.59
Soybean,644.3,28.0,69.6,70.1,94.4,56.1,6.35,15.81,Zaid,Flood,3.45
Maize,1177.7,23.6,72.6,115.5,8.1,54.1,7.09,16.69,Zaid,Flood,5.73
Sugarcane,,32.8,64.9,51.2,31.8,60.7,4.71,3.59,Kharif,Flood,56.9
Sugarcane,2145.4,27.8,71.2,112.7,63.7,16.9,5.13,9.02,Rabi,Rainfed,56.03
Wheat,590.4,21.7,51.6,32.2,,65.4,6.19,10.54,Kharif,Flood,4.01
Cotton,745.8,27.6,64.4,53.3,61.5,14.5,6.92,2.25,Zaid,Sprinkler,2.41
Soybean,804.7,27.2,67.6,86.7,47.7,95.1,8.33,10.23,Rabi,Sprinkler,3.24
Wheat,404.6,17.9,,41.4,53.4,44.9,6.29,19.62,Zaid,Sprinkler,5.04
Cotton,566.8,29.5,41.2,110.8,59.2,84.9,5.1,11.65,Rabi,Flood,2.58
Cotton,992.9,26.2,47.7,,23.9,66.7,4.76,17.32,Rabi,Rainfed,1.23
Sugarcane,1033.2,26.8,76.0,63.8,30.7,26.7,7.12,8.62,Kharif,Flood,50.83
Rice,941.0,,83.6,97.6,15.9,78.0,6.27,18.93,Zaid,Rainfed,5.09
Rice,1812.0,24.0,66.1,,70.1,84.7,6.63,12.96,Kharif,Drip,6.61
Maize,1174.8,25.3,52.9,12.9,10.3,10.5,8.13,14.56,Rabi,Drip,2.43
Sugarcane,2172.9,27.8,63.9,61.0,51.6,16.6,6.18,6.67,Zaid,Flood,66.99
Cotton,967.1,25.2,42.2,113.9,90.4,103.8,7.97,6.11,Rabi,Flood,2.57
Soybean,512.7,24.3,50.6,123.0,57.6,68.9,8.21,13.47,Zaid,Sprinkler,3.18
Rice,1961.8,25.6,87.7,124.9,47.9,95.0,4.69,3.4,Kharif,Rainfed,4.17
Cotton,631.8,29.8,48.9,31.2,51.5,88.4,7.15,2.6,Rabi,Flood,2.52
Rice,1546.3,25.9,89.1,22.3,42.1,47.7,6.81,3.47,Kharif,Drip,5.62
Rice,1364.9,30.9,86.3,86.2,69.0,89.4,7.14,8.26,Rabi,Flood,6.46
Rice,914.8,25.9,87.4,21.8,66.6,48.4,6.12,13.75,Zaid,Drip,4.78
Soybean,797.4,25.9,70.7,32.2,90.3,73.9,8.03,9.96,Zaid,Rainfed,2.23
Sugarcane,1581.6,25.9,67.2,44.9,86.8,12.3,7.21,3.87,Kharif,Rainfed,65.22
Soybean,571.5,20.6,69.2,125.1,26.0,53.7,6.38,17.53,Kharif,Rainfed,3.7
Wheat,304.8,23.0,52.1,127.9,75.3,62.0,6.62,7.28,Rabi,Rainfed,4.92
Cotton,709.2,31.6,57.9,122.0,19.7,52.4,6.13,13.91,Kharif,Flood,3.01
Sugarcane,2366.5,26.3,84.8,23.8,27.1,104.8,8.33,2.41,Zaid,Drip,52.31
Sugarcane,2494.0,22.4,64.5,75.3,85.6,7.1,6.92,5.9,Rabi,Sprinkler,50.75
Sugarcane,2341.9,23.6,73.6,137.2,82.0,63.3,8.29,10.35,Zaid,Sprinkler,56.35
Sugarcane,1568.0,25.4,70.5,81.1,57.6,57.1,5.72,18.58,Kharif,Flood,96.81
Soybean,882.3,27.7,62.5,24.6,46.9,55.3,8.09,8.2,Rabi,Rainfed,1.68
Sugarcane,2460.7,27.3,60.2,126.8,93.5,105.9,4.55,3.85,Zaid,Sprinkler,74.9
Maize,524.0,24.6,55.1,75.0,61.4,20.6,6.1,18.14,Kharif,Rainfed,4.35
Cotton,940.8,34.9,49.9,99.3,44.6,73.1,5.74,12.32,Kharif,Flood,2.22
Sugarcane,1941.3,25.2,79.6,94.3,76.1,100.1,7.95,13.64,Zaid,Flood,75.05
Cotton,753.0,31.4,57.9,118.3,75.6,93.9,4.76,1.12,Kharif,Flood,2.46
Maize,654.0,27.0,61.7,122.5,73.8,47.4,5.36,7.44,Zaid,Rainfed,5.85
Maize,1064.5,19.8,65.3,137.1,31.8,55.5,6.29,2.86,Kharif,Rainfed,5.88
Cotton,616.6,27.8,58.4,14.0,,84.9,6.42,18.67,Zaid,Drip,2.58
Rice,1036.3,29.5,83.3,118.2,39.3,27.4,6.04,14.92,Rabi,Flood,4.75
Wheat,426.6,,47.5,86.7,11.7,7.8,5.54,10.99,Zaid,Rainfed,2.76
Rice,1388.5,30.5,61.1,79.6,72.0,40.6,4.94,5.93,Rabi,Flood,5.42
Rice,996.3,25.2,73.1,68.8,,17.3,5.24,2.71,Rabi,Rainfed,2.63
Soybean,679.2,29.6,65.7,56.3,35.7,7.4,6.5,9.93,Rabi,Rainfed,2.28
Rice,976.3,25.4,76.6,107.9,31.8,28.0,6.59,3.53,Kharif,Sprinkler,5.77
Sugarcane,2268.6,26.0,68.7,95.1,72.4,66.5,5.93,11.75,Zaid,Sprinkler,83.01
Soybean,598.1,26.5,59.8,44.1,37.6,48.1,7.38,10.47,Zaid,Rainfed,2.46
Soybean,676.4,20.4,64.6,129.6,9.7,65.2,7.91,5.22,Kharif,Drip,3.18
Maize,531.4,23.3,77.6,71.1,7.8,77.4,6.43,2.92,Zaid,Rainfed,5.43
Rice,1489.2,22.6,78.7,75.7,82.6,95.4,6.96,0.75,Rabi,Rainfed,7.06
Maize,745.2,25.8,77.5,27.4,68.8,5.5,8.2,,Zaid,Sprinkler,3.34
Cotton,686.8,28.3,,86.1,47.1,8.6,5.78,16.3,Rabi,Flood,2.35
Wheat,349.8,16.0,48.2,118.1,98.1,56.9,4.54,3.23,Kharif,Flood,4.51
Soybean,483.8,25.8,73.6,57.5,91.7,87.0,7.52,12.33,Zaid,Drip,4.01
Cotton,993.2,30.5,58.3,111.0,87.9,27.6,4.84,9.92,Kharif,Rainfed,2.32
Cotton,721.9,33.3,54.3,78.5,8.6,69.6,7.81,3.57,Kharif,Drip,2.01
Sugarcane,2470.1,21.9,69.8,39.6,21.3,75.1,6.94,13.05,Kharif,Flood,48.74
Wheat,456.7,17.1,53.9,60.7,87.0,102.6,5.71,17.35,Rabi,Rainfed,4.23
Cotton,502.7,33.2,54.1,54.1,35.7,72.7,7.91,12.38,Zaid,Drip,2.06
Cotton,759.8,27.6,51.3,11.5,57.9,74.5,6.87,14.86,Rabi,Drip,2.24
Wheat,514.8,13.0,56.6,52.7,73.4,72.6,5.83,15.22,Kharif,Flood,4.63
Wheat,576.7,20.3,40.3,100.5,40.7,104.0,7.77,11.96,Kharif,Rainfed,
Cotton,648.0,29.8,52.9,31.5,97.9,16.3,8.23,18.31,Zaid,Flood,1.69
Wheat,518.0,21.4,58.9,54.3,33.6,65.7,6.49,11.8,Rabi,Flood,4.18
Cotton,626.7,25.5,41.9,23.5,82.2,9.1,7.14,5.81,Zaid,Flood,1.78
Cotton,652.8,29.8,52.9,59.7,58.6,17.0,8.49,8.8,Rabi,Flood,1.58
Sugarcane,1681.4,32.5,78.0,24.0,85.4,82.3,5.35,3.33,Kharif,Drip,94.12
Rice,1300.5,26.2,79.9,73.7,54.2,50.4,8.47,18.59,Zaid,Sprinkler,4.62
Cotton,975.3,30.8,61.5,39.7,25.9,26.1,8.19,17.13,Zaid,Flood,1.36
Maize,624.6,26.8,74.7,45.9,93.4,43.3,7.93,5.69,Kharif,Rainfed,4.69
Soybean,773.3,28.4,63.1,15.9,93.7,79.1,7.48,16.0,Zaid,Rainfed,2.52
Rice,1680.3,26.4,78.8,121.0,81.2,9.3,6.02,1.18,Kharif,Drip,6.84
Rice,1341.3,23.2,87.3,115.9,54.4,86.0,6.59,3.58,Zaid,Drip,8.26
Rice,1221.1,23.9,87.9,114.0,46.1,56.8,5.56,14.23,Zaid,Sprinkler,4.91
Sugarcane,1904.2,27.1,84.6,131.9,86.9,98.4,6.37,13.32,Kharif,Flood,132.6
Cotton,980.9,28.9,50.4,88.1,,104.8,5.48,15.05,Zaid,Drip,3.26
Sugarcane,1991.5,28.3,68.1,72.6,63.6,47.5,5.29,19.25,Rabi,Rainfed,65.26
Cotton,705.5,32.3,48.9,62.9,43.9,62.1,6.67,10.19,Rabi,Flood,2.35
Sugarcane,2399.0,21.9,75.1,95.7,43.2,100.4,7.05,15.5,Kharif,Flood,69.1
Sugarcane,1415.5,27.4,73.4,55.3,17.5,32.9,6.25,1.09,Rabi,Sprinkler,73.76
Soybean,715.6,25.5,73.4,11.1,9.5,25.1,5.17,4.03,Rabi,Rainfed,1.68
Maize,1009.9,26.7,50.0,134.0,82.3,99.9,4.56,18.71,Kharif,Drip,7.59
Sugarcane,1229.6,28.1,72.6,63.7,88.3,18.2,8.0,10.49,Kharif,Rainfed,50.96
Soybean,765.4,21.6,73.2,58.8,28.0,63.3,7.68,0.57,Zaid,Flood,2.14
Wheat,423.5,17.9,63.7,92.5,55.6,46.2,5.67,16.54,Zaid,Sprinkler,5.0
Maize,864.6,24.0,63.5,43.3,16.4,15.3,7.53,4.86,Zaid,Drip,4.26
Sugarcane,1508.0,29.4,63.2,63.9,6.4,93.3,6.55,3.21,Rabi,Drip,92.79
Rice,1026.6,26.5,68.1,79.5,84.1,47.2,7.37,17.6,Kharif,Sprinkler,5.73
Wheat,794.8,16.6,47.9,43.1,78.4,50.6,5.82,3.98,Kharif,Flood,4.11
Wheat,583.3,22.2,68.7,51.4,25.9,76.1,7.53,4.89,Rabi,Rainfed,3.02
Soybean,852.0,30.0,62.8,117.3,82.5,103.2,7.86,13.05,Rabi,Sprinkler,3.88
Wheat,556.0,14.9,56.5,80.0,58.7,104.6,8.11,17.58,Rabi,Sprinkler,4.67
Maize,853.6,28.2,72.4,28.1,29.0,81.8,5.16,7.35,Kharif,Drip,4.4
Sugarcane,1832.5,30.7,82.6,88.3,51.8,87.5,8.29,7.44,Rabi,Sprinkler,85.69
Sugarcane,1273.5,26.4,83.6,108.2,,40.5,7.74,14.07,Kharif,Sprinkler,70.13
Rice,965.3,27.3,71.1,103.9,21.5,67.0,7.28,7.21,Kharif,Sprinkler,5.26
Soybean,899.3,20.6,68.8,122.3,66.9,94.9,4.95,7.28,Zaid,Sprinkler,3.45
Rice,893.9,24.0,,118.6,20.5,94.7,7.25,10.64,Zaid,Rainfed,4.09
Wheat,,15.7,55.9,114.7,80.2,66.0,7.62,4.24,Zaid,Flood,5.08
Rice,890.7,30.7,67.4,100.4,,97.0,5.69,0.73,Zaid,Rainfed,3.85
Maize,1113.6,24.4,77.4,44.6,48.9,62.7,8.3,19.97,Zaid,Rainfed,4.37
Sugarcane,1567.0,30.9,60.2,11.2,48.8,56.3,4.59,13.9,Zaid,Sprinkler,44.92
Wheat,503.6,14.2,47.0,79.5,23.9,58.4,5.13,13.58,Kharif,Rainfed,3.35
Rice,1361.4,23.1,62.1,87.8,30.1,60.4,6.57,18.52,Zaid,Drip,5.56
Soybean,799.7,29.5,57.1,119.7,46.1,92.0,7.79,4.18,Kharif,Rainfed,3.35
Maize,708.2,21.5,58.9,104.3,26.8,5.1,7.36,3.84,Rabi,Sprinkler,4.91
Maize,531.2,23.7,79.1,103.1,35.7,38.5,,12.71,Rabi,Flood,5.37
Rice,1831.3,23.9,67.7,59.4,87.8,74.6,5.87,13.83,Kharif,Flood,5.08
Sugarcane,,32.2,83.1,128.2,53.7,42.8,6.36,13.95,Rabi,Rainfed,73.86
Rice,1901.8,24.1,84.5,137.3,88.6,34.4,4.92,2.69,Rabi,Rainfed,4.25
Wheat,474.2,12.6,45.4,94.1,49.1,57.0,6.21,19.14,Kharif,Flood,3.72
Rice,1683.2,27.2,76.7,130.8,40.9,53.7,4.85,12.38,Rabi,Sprinkler,5.32
Maize,553.1,24.4,70.9,91.1,23.0,54.3,7.38,10.82,Rabi,Flood,4.77
Rice,,25.2,88.2,97.3,12.1,53.4,8.06,2.34,Kharif,Rainfed,3.98
Sugarcane,1627.6,32.7,71.0,92.5,78.6,8.5,6.87,4.14,Zaid,Sprinkler,91.61
Soybean,,27.9,51.1,61.2,44.6,52.3,7.81,2.41,Kharif,Sprinkler,2.3
Cotton,624.2,34.3,56.1,45.8,53.2,87.6,8.03,16.85,Kharif,Sprinkler,1.94
Rice,1593.5,24.5,81.3,11.4,46.7,93.5,6.46,6.57,Kharif,Sprinkler,5.29
Sugarcane,1528.7,30.3,77.8,30.5,29.0,21.4,8.31,8.41,Zaid,Rainfed,38.02
Sugarcane,1230.1,20.2,70.5,18.9,53.5,52.8,7.57,13.37,Rabi,Flood,48.25
Soybean,519.0,27.1,,18.4,10.2,24.7,8.14,10.64,Kharif,Drip,1.45
Maize,957.6,18.5,73.2,115.8,51.9,26.6,7.45,14.14,Kharif,Flood,5.88
Sugarcane,2059.6,32.8,67.3,31.5,92.5,49.4,5.62,9.68,Kharif,Rainfed,61.74
Sugarcane,1844.0,25.8,80.1,65.5,27.2,109.4,8.33,16.95,Rabi,Sprinkler,82.35
Sugarcane,2201.2,24.1,83.0,88.4,81.3,88.1,5.27,13.52,Rabi,Flood,76.35
Sugarcane,1243.4,27.6,70.4,118.3,98.8,38.4,6.63,10.47,Rabi,Flood,96.85
Wheat,772.5,19.3,45.9,93.4,82.6,63.8,5.52,5.62,Kharif,Flood,4.12
Wheat,672.3,16.0,41.4,38.5,72.1,87.2,6.32,14.11,Kharif,Sprinkler,4.93
Maize,1163.6,25.0,52.1,76.0,36.2,58.4,4.6,6.6,Kharif,Sprinkler,4.1
Rice,1142.6,26.5,68.9,59.8,84.4,106.6,,8.17,Rabi,Drip,8.4
Sugarcane,2115.3,23.5,73.3,115.2,79.2,27.6,7.36,16.1,Kharif,Drip,70.1
Soybean,451.2,21.7,,55.8,57.7,24.7,7.94,,Rabi,Rainfed,1.88
Rice,888.3,29.3,78.9,113.1,17.6,,7.62,5.58,Kharif,Drip,4.45
Soybean,,23.4,64.4,,48.5,33.2,7.87,6.61,Kharif,Drip,2.65
Rice,1546.4,27.1,71.9,109.9,45.4,53.0,6.57,16.72,Zaid,Drip,7.0
Maize,969.2,22.2,69.3,131.0,84.9,73.0,5.87,15.7,Zaid,Flood,8.75
Sugarcane,2088.7,20.0,76.4,105.2,38.8,91.2,4.68,15.23,Zaid,Sprinkler,67.95
